para,onoff,Ndistribution,Nrepeat,timeMax,triggerPeriod,Spontaneous,LCC,NoCluster,numberNodes,single,data,clusterDistance,distance,Cas0,Ca0,CSQ
SponStest,0,1,1,0.01,0.01,1,0,1,1000,false,false,300,40,1000.,0.1,400.
SponE,0,1,5,10.,0.05,1,0,1,50,true,false,2000,40,1000.,0.1,400.
Spon30,0,5000,10,0.06,0.3,1,0,1,30,true,false,2000,40,1000.,0.1,400.
Spon50,0,5000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,0.1,400.
Spon80,0,5000,10,0.06,0.3,1,0,1,80,true,false,2000,40,1000.,0.1,400.
SponM,0,200,10,0.06,0.3,0.05,0,1,1000,false,false,300,40,1000.,0.1,400.
LCCtest,0,5,5,2,0.2,0,1,1,40,true,false,1000,40,1000.,0.1,400.
LCCEE,0,1,5,1,.3,0,1,1,50,true,false,1000,40,1000.,0.1,400.
LCCE,0,1,5,10,3,0,1,1,50,true,false,1000,40,1000.,0.1,400.
LCCI30,0,500,5,0.06,0.3,0,1,1,30,true,false,1000,40,1000.,0.1,400.
LCCII30,0,500,5,0.06,0.3,0,0.143,1,30,true,false,1000,40,1000.,0.1,400.
LCCI50,0,500,5,0.06,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,400.
LCCII50,0,500,5,0.06,0.3,0,0.143,1,50,true,false,2000,40,1000.,0.1,400.
LCCI80,0,500,5,0.06,0.3,0,1,1,80,true,false,2000,40,1000.,0.1,400.
LCCII80,0,500,5,0.06,0.3,0,0.143,1,80,true,false,2000,40,1000.,0.1,400.
LCCIM,0,200,5,0.06,0.3,0,1,500,1000,false,false,300,40,1000.,0.1,400.
LCCIIM,0,200,5,0.06,0.3,0,0.143,500,1000,false,false,300,40,1000.,0.1,400.
LCCIt67i01,0,500,10,0.062,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,400.
LCCIt67i15,0,500,10,0.062,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,400.
LCCIt67i15t,0,100,5,0.062,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,400.
LCCIt67i151,0,500,10,0.062,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,400.
LCCIt05i05,0,500,10,0.062,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,400.
LCCIt150i05,0,500,10,0.062,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,400.
LCCIt10005i05,0,500,10,0.062,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,400.
ratC,0,500,10,0.06,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,400.
ratS,0,500,10,0.06,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,400.
ratK,0,500,10,0.06,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,400.
sheepC,0,500,10,0.06,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,400.
sheepS,0,500,10,0.06,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,400.
sheepK,0,500,10,0.06,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,400.
CaN500C0,0,500,5,0.1,0.3,0,1,1,50,true,false,2000,40,500.,0,400.
CaN1000C0,0,500,5,0.1,0.3,0,1,1,50,true,false,2000,40,1000.,0,400.
CaN1500C0,0,500,5,0.1,0.3,0,1,1,50,true,false,2000,40,1500.,0,400.
CaN500C100,0,500,5,0.1,0.3,0,1,1,50,true,false,2000,40,500.,100,400.
CaN1000C100,0,500,5,0.1,0.3,0,1,1,50,true,false,2000,40,1000.,100,400.
CaN1500C100,0,500,5,0.1,0.3,0,1,1,50,true,false,2000,40,1500.,100,400.
CaN500C200,0,500,5,0.1,0.3,0,1,1,50,true,false,2000,40,500.,200,400.
CaN1000C200,0,500,5,0.1,0.3,0,1,1,50,true,false,2000,40,1000.,200,400.
CaN1500C200,0,500,5,0.1,0.3,0,1,1,50,true,false,2000,40,1500.,200,400.
CSQ0,0,100,10,0.06,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,10.
CSQ50,0,100,10,0.06,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,50.
CSQ100,0,500,10,0.06,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,100.
CSQ200,0,500,10,0.06,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,200.
CSQ400,0,500,10,0.06,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,400.
CSQ600,0,500,10,0.06,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,600.
CSQ800,0,500,10,0.06,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,800.
CSQ1000,0,500,10,0.06,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,1000.
CSQ1200,0,500,10,0.06,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,1200.
CSQ1400,0,500,10,0.06,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,1400.
CSQ1600,0,500,10,0.06,0.3,0,1,1,50,true,false,2000,40,1000.,0.1,1600.
CSQN100t25,0,100,5,0.065,0.025,0,0.143,1,50,true,false,2000,40,1000.,0.1,100.
CSQN100t50,0,100,5,0.090,0.050,0,0.143,1,50,true,false,2000,40,1000.,0.1,100.
CSQN100t75,0,100,5,0.115,0.075,0,0.143,1,50,true,false,2000,40,1000.,0.1,100.
CSQN100t100,0,100,5,0.140,0.100,0,0.143,1,50,true,false,2000,40,1000.,0.1,100.
CSQN100t125,0,100,5,0.165,0.125,0,0.143,1,50,true,false,2000,40,1000.,0.1,100.
CSQN100t150,0,100,5,0.190,0.150,0,0.143,1,50,true,false,2000,40,1000.,0.1,100.
CSQN100t175,0,100,5,0.215,0.175,0,0.143,1,50,true,false,2000,40,1000.,0.1,100.
CSQN100t200,0,100,5,0.240,0.200,0,0.143,1,50,true,false,2000,40,1000.,0.1,100.
CSQN100t225,0,100,5,0.265,0.225,0,0.143,1,50,true,false,2000,40,1000.,0.1,100.
CSQN100t250,0,100,5,0.290,0.250,0,0.143,1,50,true,false,2000,40,1000.,0.1,100.
CSQN100t275,0,100,5,0.315,0.275,0,0.143,1,50,true,false,2000,40,1000.,0.1,100.
CSQN100t300,0,100,5,0.340,0.300,0,0.143,1,50,true,false,2000,40,1000.,0.1,100.
CSQN400t25,0,100,5,0.065,0.025,0,0.143,1,50,true,false,2000,40,1000.,0.1,400.
CSQN400t50,0,100,5,0.090,0.050,0,0.143,1,50,true,false,2000,40,1000.,0.1,400.
CSQN400t75,0,100,5,0.115,0.075,0,0.143,1,50,true,false,2000,40,1000.,0.1,400.
CSQN400t100,0,100,5,0.140,0.100,0,0.143,1,50,true,false,2000,40,1000.,0.1,400.
CSQN400t125,0,100,5,0.165,0.125,0,0.143,1,50,true,false,2000,40,1000.,0.1,400.
CSQN400t150,0,100,5,0.190,0.150,0,0.143,1,50,true,false,2000,40,1000.,0.1,400.
CSQN400t175,0,100,5,0.215,0.175,0,0.143,1,50,true,false,2000,40,1000.,0.1,400.
CSQN400t200,0,100,5,0.240,0.200,0,0.143,1,50,true,false,2000,40,1000.,0.1,400.
CSQN400t225,0,100,5,0.265,0.225,0,0.143,1,50,true,false,2000,40,1000.,0.1,400.
CSQN400t250,0,100,5,0.290,0.250,0,0.143,1,50,true,false,2000,40,1000.,0.1,400.
CSQN400t275,0,100,5,0.315,0.275,0,0.143,1,50,true,false,2000,40,1000.,0.1,400.
CSQN400t300,0,100,5,0.340,0.300,0,0.143,1,50,true,false,2000,40,1000.,0.1,400.
CSQN1200t25,0,100,5,0.125,0.040,0,0.143,1,50,true,false,2000,40,1000.,0.1,1200.
